SERIALNO,OCCP,AGEP,SEX,RAC1P,HISP,SCHL,STATE,PUMA,ESR,WAGP,COW,WKHP
2019GQ0005021,9620.0,19,1,1,1,18.0,21,1701,1.0,9000.0,1.0,25.0
2019GQ0005041,,61,1,1,1,19.0,21,1701,6.0,0.0,,
2019GQ0005192,8990.0,39,2,1,1,16.0,21,2400,6.0,10000.0,1.0,35.0
2019GQ0005248,,57,1,1,1,16.0,21,100,6.0,0.0,,
2019GQ0005321,4640.0,21,2,1,1,19.0,21,100,1.0,10000.0,1.0,20.0
2019GQ0005358,4720.0,19,1,1,1,16.0,21,1901,1.0,1500.0,1.0,8.0
2019GQ0005382,4130.0,18,1,2,1,19.0,21,1702,6.0,0.0,1.0,
2019GQ0005584,9825.0,21,1,1,1,16.0,21,300,4.0,25000.0,5.0,70.0
2019GQ0005703,310.0,19,2,1,1,18.0,21,1701,1.0,17000.0,1.0,30.0
2019GQ0005803,,84,2,1,1,16.0,21,300,6.0,0.0,,
2019GQ0005900,4720.0,22,1,1,1,19.0,21,100,6.0,2000.0,1.0,15.0
2019GQ0005971,,82,2,1,1,21.0,21,300,6.0,0.0,,
2019GQ0005979,5400.0,27,2,1,1,11.0,21,1901,6.0,0.0,1.0,
2019GQ0006121,,50,2,1,1,17.0,21,500,6.0,0.0,,
2019GQ0006129,,74,1,1,1,16.0,21,900,6.0,0.0,,
2019GQ0006197,4760.0,20,1,1,1,19.0,21,2100,3.0,3000.0,1.0,20.0
2019GQ0006271,3640.0,33,1,1,1,21.0,21,300,6.0,15000.0,1.0,40.0
2019GQ0006367,,61,1,1,1,16.0,21,100,6.0,0.0,,
2019GQ0006387,9810.0,25,1,2,1,20.0,21,300,4.0,50000.0,5.0,40.0
2019GQ0006397,1970.0,21,2,1,1,19.0,21,2700,1.0,7000.0,4.0,30.0
2019GQ0006424,4110.0,28,2,2,1,19.0,21,1701,6.0,1500.0,1.0,20.0
2019GQ0006624,4010.0,19,1,1,1,18.0,21,2300,6.0,0.0,1.0,
2019GQ0006819,9830.0,23,1,1,2,18.0,21,300,4.0,29000.0,5.0,50.0
2019GQ0007144,,73,2,1,1,11.0,21,2600,6.0,0.0,,
2019GQ0007205,3421.0,19,1,1,1,18.0,21,1901,1.0,5000.0,1.0,20.0
2019GQ0007351,,61,1,2,1,16.0,21,300,6.0,0.0,,
