education_required,mean_annual_wage,percent_change,occupation,job_type
Doctoral or professional degree,131130.0,1.6393,192012,High-Wage
Bachelor's degree,77780.0,-2.1277,192021,High-Wage
Bachelor's degree,82110.0,7.4074,192031,Both
Bachelor's degree,61800.0,4.7354,192041,High-Wage
Bachelor's degree,71040.0,5.2846,192042,Both
Bachelor's degree,74990.0,4.3165,192099,High-Wage
Master's degree,82000.0,7.2816,193011,Both
Master's degree,75930.0,-2.3256,193022,High-Wage
Master's degree,,5.0505,193032,High-Demand
Doctoral or professional degree,105140.0,12.1269,193033,Both
Master's degree,72480.0,1.4228,193034,High-Wage
Master's degree,110560.0,4.2553,193039,High-Wage
Master's degree,61400.0,5.5762,193051,Both
Master's degree,62970.0,2.7397,193091,High-Wage
Master's degree,55580.0,4.7619,193093,High-Wage
Bachelor's degree,73960.0,-1.023,193099,High-Wage
Associate degree,47420.0,6.7901,194012,High-Demand
Associate degree,52860.0,4.386,194013,High-Wage
Bachelor's degree,41920.0,6.7204,194021,High-Demand
Associate degree,55070.0,3.0257,194031,High-Wage
Associate degree,57000.0,6.5789,194042,Both
Associate degree,61870.0,4.8128,194043,High-Wage
Bachelor's degree,69140.0,5.8608,194061,Both
Bachelor's degree,54030.0,15.0,194092,Both
Associate degree,57880.0,5.8355,194099,Both
Bachelor's degree,74510.0,14.3777,195011,Both
High school diploma or equivalent,64040.0,19.9095,195012,Both
Not reported,50230.0,9.6722,210000,Both
Master's degree,59320.0,5.981,211012,Both
Master's degree,55690.0,17.8982,211013,Both
Master's degree,43710.0,8.5294,211015,High-Demand
Bachelor's degree,53690.0,21.3591,211018,Both
Master's degree,52370.0,17.4905,211019,Both
Master's degree,62040.0,9.5349,211022,Both
Master's degree,49310.0,12.0168,211023,High-Demand
Bachelor's degree,62670.0,4.235,211029,High-Wage
Bachelor's degree,59430.0,7.7247,211091,Both
High school diploma or equivalent,38050.0,9.2414,211093,High-Demand
High school diploma or equivalent,49550.0,13.0024,211094,High-Demand
Bachelor's degree,43330.0,5.3521,211099,High-Demand
Bachelor's degree,54510.0,5.1903,212011,Both
Bachelor's degree,52270.0,2.5,212021,High-Wage
Not reported,92460.0,4.6016,230000,High-Wage
Doctoral or professional degree,112900.0,5.9287,231011,Both
Doctoral or professional degree,64930.0,1.1527,231021,High-Wage
Doctoral or professional degree,129330.0,1.5291,231023,High-Wage
Associate degree,53910.0,3.5245,232011,High-Wage
Not reported,56440.0,1.9995,250000,High-Wage
Doctoral or professional degree,96730.0,7.5472,251011,Both
Doctoral or professional degree,89600.0,5.8824,251021,Both
Doctoral or professional degree,76190.0,3.7559,251022,High-Wage
Doctoral or professional degree,120330.0,9.4937,251032,Both
Doctoral or professional degree,91840.0,5.4348,251041,Both
Doctoral or professional degree,82290.0,9.3079,251042,Both
Doctoral or professional degree,91430.0,2.7778,251051,High-Wage
Doctoral or professional degree,100430.0,3.7037,251052,High-Wage
Doctoral or professional degree,110130.0,4.5455,251053,High-Wage
Doctoral or professional degree,91560.0,4.3478,251054,High-Wage
Doctoral or professional degree,104730.0,3.5714,251061,High-Wage
Doctoral or professional degree,78420.0,4.5802,251062,High-Wage
Doctoral or professional degree,125810.0,4.4643,251063,High-Wage
Doctoral or professional degree,87240.0,8.3333,251064,Both
Doctoral or professional degree,98590.0,5.1724,251065,Both
Doctoral or professional degree,80820.0,5.8496,251066,Both
Doctoral or professional degree,86000.0,4.2735,251067,High-Wage
Doctoral or professional degree,76510.0,3.1447,251069,High-Wage
Doctoral or professional degree,112850.0,19.5918,251071,Both
Doctoral or professional degree,79370.0,18.7143,251072,Both
Doctoral or professional degree,71550.0,4.2398,251081,High-Wage
Doctoral or professional degree,65310.0,5.3763,251082,Both
Doctoral or professional degree,67060.0,3.0075,251111,High-Wage
Doctoral or professional degree,115570.0,5.2632,251112,Both
Doctoral or professional degree,68710.0,4.6693,251113,High-Wage
Master's degree,68630.0,3.6735,251121,High-Wage
Doctoral or professional degree,70010.0,4.2146,251122,High-Wage
Doctoral or professional degree,70610.0,1.7241,251123,High-Wage
Doctoral or professional degree,75190.0,1.6807,251124,High-Wage
Doctoral or professional degree,82900.0,1.8519,251125,High-Wage
